year,names_ai_skill_pct,asks_for_ai_in_role_pct,definition
2006,0.05,0.02,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2007,0.065,0.03,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2008,0.063,0.03,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2009,0.088,0.029,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2010,0.074,0.03,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2011,0.093,0.036,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2012,0.096,0.035,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2013,0.085,0.027,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2014,0.105,0.038,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2015,0.129,0.062,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2016,0.175,0.089,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2017,0.25,0.126,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2018,0.455,0.215,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2019,0.712,0.308,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2020,0.781,0.342,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2021,0.795,0.355,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2022,0.762,0.349,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2023,0.746,0.351,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2024,0.941,0.441,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2025,1.066,0.534,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
2026,1.214,0.585,frozen v1.2 fp 57f87291a05450a0 · distinct advertisements
