code,country,top_tier_share_pct,daioe_genai_score,emp_coverage_pct,lfs_year
LU,Luxembourg,56.0,2.2103,100.0,2023
SE,Sweden,39.2,2.0651,99.7,2023
NL,Netherlands,38.5,2.046,99.7,2023
BE,Belgium,37.7,2.0011,99.5,2023
CH,Switzerland,36.3,2.0227,99.9,2023
DE,Germany,35.2,1.9727,99.6,2023
CY,Cyprus,34.6,1.9334,98.3,2023
DK,Denmark,34.2,1.9738,99.6,2023
UK,United Kingdom,33.5,1.9933,99.7,2019
FR,France,33.5,1.9454,99.3,2023
LT,Lithuania,32.8,1.931,99.7,2023
FI,Finland,32.8,1.9581,99.7,2023
IE,Ireland,32.4,1.973,100.0,2023
AT,Austria,31.6,1.9304,99.9,2023
EE,Estonia,31.0,1.9299,99.7,2023
PL,Poland,30.9,1.9077,99.2,2023
NO,Norway,30.6,1.9848,100.0,2023
MT,Malta,30.1,1.9437,99.4,2023
SI,Slovenia,29.6,1.8732,99.3,2023
CZ,Czechia,29.4,1.873,99.6,2023
HU,Hungary,29.2,1.8519,99.5,2023
IT,Italy,28.7,1.8658,99.0,2023
PT,Portugal,28.1,1.884,99.6,2023
LV,Latvia,28.0,1.8813,99.2,2023
ME,Montenegro,27.1,1.842,100.0,2020
SK,Slovakia,27.0,1.8633,99.7,2023
HR,Croatia,26.7,1.8678,99.3,2023
IS,Iceland,25.3,1.9527,100.0,2023
RS,Serbia,24.7,1.8016,99.4,2023
EL,Greece,24.4,1.8426,98.4,2023
MK,N. Macedonia,24.2,1.8017,99.1,2023
ES,Spain,24.1,1.8372,99.5,2023
BG,Bulgaria,23.9,1.7967,99.2,2023
RO,Romania,19.7,1.7145,99.4,2023
BA,Bosnia & Herz.,19.3,1.7358,99.3,2023
TR,Turkey,15.9,1.6821,99.3,2023
