code,country,pct_using_ai,year,pct_prev_wave,prev_year
DK,Denmark,42.0,2025,27.6,2024
FI,Finland,37.8,2025,24.4,2024
SE,Sweden,35.0,2025,25.1,2024
BE,Belgium,34.5,2025,24.7,2024
LU,Luxembourg,33.6,2025,23.7,2024
NL,Netherlands,33.2,2025,23.1,2024
AT,Austria,29.9,2025,20.3,2024
NO,Norway,28.9,2025,20.8,2024
DE,Germany,26.0,2025,19.8,2024
EE,Estonia,23.4,2025,13.9,2024
SI,Slovenia,21.6,2025,20.9,2024
MT,Malta,21.5,2025,17.3,2024
LT,Lithuania,21.3,2025,8.8,2024
ES,Spain,20.3,2025,11.3,2024
IE,Ireland,19.6,2025,14.9,2024
FR,France,18.2,2025,9.9,2024
SK,Slovakia,18.0,2025,10.8,2024
CZ,Czechia,17.6,2025,11.3,2024
IT,Italy,16.4,2025,8.2,2024
HR,Croatia,15.2,2025,11.8,2024
LV,Latvia,12.2,2025,8.8,2024
PT,Portugal,11.5,2025,8.6,2024
BA,Bosnia & Herz.,10.8,2025,6.4,2024
HU,Hungary,10.4,2025,7.4,2024
RS,Serbia,10.1,2025,7.0,2024
ME,Montenegro,10.1,2025,7.9,2024
CY,Cyprus,9.3,2025,7.9,2024
AL,Albania,9.0,2025,8.9,2024
EL,Greece,8.9,2025,9.8,2024
BG,Bulgaria,8.6,2025,6.5,2024
PL,Poland,8.4,2025,5.9,2024
TR,Turkey,7.4,2025,4.4,2024
RO,Romania,5.2,2025,3.1,2024
