occupation,daioe_genai_score,group,daioe_version
"Coding, proof-reading and related clerks",5.17,most_exposed,v2023
Authors and related writers,4.74,most_exposed,v2023
"Mathematicians, actuaries and statisticians",4.69,most_exposed,v2023
Advertising and marketing professionals,4.63,most_exposed,v2023
Applications programmers,4.63,most_exposed,v2023
Software developers,4.42,most_exposed,v2023
Economists,4.38,most_exposed,v2023
"Statistical, mathematical and related associate professionals",4.35,most_exposed,v2023
Chemical engineers,4.29,most_exposed,v2023
Physicists and astronomers,4.28,most_exposed,v2023
"Fibre preparing, spinning and winding machine operators",1.33,least_exposed,v2023
Earthmoving and related plant operators,1.33,least_exposed,v2023
Subsistence crop farmers,1.32,least_exposed,v2023
Crop farm labourers,1.32,least_exposed,v2023
Water and firewood collectors,1.31,least_exposed,v2023
Garden and horticultural labourers,1.3,least_exposed,v2023
Miners and quarriers,1.28,least_exposed,v2023
Roofers,1.22,least_exposed,v2023
Athletes and sports players,1.21,least_exposed,v2023
Hand launderers and pressers,1.12,least_exposed,v2023
