period,pct_machine_learning,pct_early_era,pct_generative,pct_generic_ai,pct_other,term_matches
2006,27.42,37.1,0,12.1,23.39,124
2007,24.88,47.42,0,7.98,19.72,213
2008,21.91,43.82,0,8.43,25.84,178
2009,34.39,41.27,0,3.17,21.16,189
2010,40.74,26.3,0,8.89,24.07,270
2011,43.8,21.9,0,7.39,26.91,379
2012,47.6,20.74,0,7.64,24.02,458
2013,54.07,20.14,0,5.66,20.14,442
2014,56.55,14.7,0,6.39,22.36,626
2015,49.42,18.8,0,6.23,25.55,947
2016,51.31,19.56,0,6.61,22.51,1559
2017,60.78,8.75,0,10.96,19.51,2481
2018,61.26,4.39,0,18.76,15.59,4189
2019,59.97,3.72,0.03,20.66,15.61,6316
2020,62.45,2.93,0,19.41,15.21,5318
2021,62.89,2.76,0.01,20.81,13.53,7507
2022,62.95,2.36,1.06,19.42,14.21,10046
2023,60.42,1.71,4.28,19.85,13.74,7546
2024,57.25,0.95,7.77,16.55,17.48,8856
2025,51.01,1.36,14.11,15.57,17.96,9590
2026-Q1,40.58,0.86,18.81,17.88,21.88,2797
2026-Q2,39.37,0.39,21.65,15.99,22.59,3302
