country,year,exposure_tercile,wage_index_base100
sweden,2014,high,100.0
sweden,2014,mid,100.0
sweden,2014,low,100.0
sweden,2015,high,102.0
sweden,2015,mid,102.4
sweden,2015,low,102.2
sweden,2016,high,104.8
sweden,2016,mid,104.7
sweden,2016,low,104.6
sweden,2017,high,106.9
sweden,2017,mid,108.2
sweden,2017,low,107.1
sweden,2018,high,109.3
sweden,2018,mid,110.9
sweden,2018,low,109.4
sweden,2019,high,111.5
sweden,2019,mid,113.5
sweden,2019,low,112.1
sweden,2020,high,113.7
sweden,2020,mid,115.0
sweden,2020,low,113.1
sweden,2021,high,117.4
sweden,2021,mid,118.5
sweden,2021,low,115.9
sweden,2022,high,120.5
sweden,2022,mid,121.8
sweden,2022,low,118.7
sweden,2023,high,125.4
sweden,2023,mid,126.8
sweden,2023,low,123.6
sweden,2024,high,130.4
sweden,2024,mid,131.0
sweden,2024,low,128.3
sweden,2025,high,134.5
sweden,2025,mid,134.8
sweden,2025,low,132.2
us,2015,high,100.0
us,2015,mid,100.0
us,2015,low,100.0
us,2016,high,102.3
us,2016,mid,102.8
us,2016,low,103.0
us,2017,high,104.3
us,2017,mid,105.3
us,2017,low,106.2
us,2018,high,107.0
us,2018,mid,108.5
us,2018,low,109.7
us,2019,high,110.0
us,2019,mid,111.8
us,2019,low,113.5
us,2020,high,114.1
us,2020,mid,118.4
us,2020,low,119.8
us,2021,high,116.2
us,2021,mid,122.8
us,2021,low,124.1
us,2022,high,121.2
us,2022,mid,129.3
us,2022,low,130.4
us,2023,high,128.8
us,2023,mid,136.4
us,2023,low,139.0
us,2024,high,134.1
us,2024,mid,142.4
us,2024,low,145.1
us,2025,high,140.0
us,2025,mid,147.1
us,2025,low,148.9
