condition,gender,pct_least_exposed_occ,pct_most_exposed_occ,daioe,wc_year
Mentally strenuous work,all,52,62.9,v2023,2024
Mentally strenuous work,women,55.6,61,v2023,2024
Mentally strenuous work,men,51.9,62.9,v2023,2024
Can influence own work,all,65.1,75.8,v2023,2024
Can influence own work,women,55.9,74.4,v2023,2024
Can influence own work,men,67.5,77.9,v2023,2024
Can't switch off after work,all,25.4,32.9,v2023,2024
Can't switch off after work,women,25.6,32.4,v2023,2024
Can't switch off after work,men,26.4,33.8,v2023,2024
Negative view of technology,all,13,8.9,v2023,2024
Negative view of technology,women,10.3,7.9,v2023,2024
Negative view of technology,men,13,9.1,v2023,2024
Work feels meaningful,all,87.4,91.5,v2023,2024
Work feels meaningful,women,85,92,v2023,2024
Work feels meaningful,men,86.3,90,v2023,2024
